# 16385 samples -> 666 bus cycles
 10989 MR     a=E7AB d=3A slot=D4 n=12
 11007 MR     a=E7AC d=3A slot=D4 n=12
 11025 MR     a=3A3A d=5C slot=D4 n=12
 11043 M1     a=E7AD d=3A slot=D4 n=15
 11073 MR     a=E7AE d=3A slot=D4 n=12
 11091 MR     a=E7AF d=3A slot=D4 n=12
 11109 MR     a=3A3A d=5C slot=D4 n=12
 11127 M1     a=E7B0 d=3A slot=D4 n=15
 11157 MR     a=E7B1 d=3A slot=D4 n=12
 11175 MR     a=E7B2 d=3A slot=D4 n=12
 11193 MR     a=3A3A d=5C slot=D4 n=12
 11211 M1     a=E7B3 d=3A slot=D4 n=15
 11241 MR     a=E7B4 d=3A slot=D4 n=12
 11259 MR     a=E7B5 d=3A slot=D4 n=12
 11277 MR     a=3A3A d=5C slot=D4 n=12
 11295 M1     a=E7B6 d=3A slot=D4 n=15
 11325 MR     a=E7B7 d=3A slot=D4 n=12
 11343 MR     a=E7B8 d=3A slot=D4 n=12
 11361 MR     a=3A3A d=5C slot=D4 n=12
 11379 M1     a=E7B9 d=3A slot=D4 n=15
 11409 MR     a=E7BA d=3A slot=D4 n=12
 11427 MR     a=E7BB d=3A slot=D4 n=12
 11445 MR     a=3A3A d=5C slot=D4 n=12
 11463 M1     a=E7BC d=3A slot=D4 n=15
 11493 MR     a=E7BD d=3A slot=D4 n=12
 11511 MR     a=E7BE d=3A slot=D4 n=12
 11529 MR     a=3A3A d=5C slot=D4 n=12
 11547 M1     a=E7BF d=3A slot=D4 n=15
 11577 MR     a=E7C0 d=3A slot=D4 n=12
 11595 MR     a=E7C1 d=3A slot=D4 n=12
 11613 MR     a=3A3A d=5C slot=D4 n=12
 11631 M1     a=E7C2 d=3A slot=D4 n=15
 11661 MR     a=E7C3 d=3A slot=D4 n=12
 11679 MR     a=E7C4 d=3A slot=D4 n=12
 11697 MR     a=3A3A d=5C slot=D4 n=12
 11715 M1     a=E7C5 d=3A slot=D4 n=15
 11745 MR     a=E7C6 d=3A slot=D4 n=12
 11763 MR     a=E7C7 d=3A slot=D4 n=12
 11781 MR     a=3A3A d=5C slot=D4 n=12
 11799 M1     a=E7C8 d=3A slot=D4 n=15
 11829 MR     a=E7C9 d=3A slot=D4 n=12
 11847 MR     a=E7CA d=3A slot=D4 n=12
 11865 MR     a=3A3A d=5C slot=D4 n=12
 11883 M1     a=E7CB d=3A slot=D4 n=15
 11913 MR     a=E7CC d=3A slot=D4 n=12
 11931 MR     a=E7CD d=3A slot=D4 n=12
 11949 MR     a=3A3A d=5C slot=D4 n=12
 11967 M1     a=E7CE d=3A slot=D4 n=15
 11997 MR     a=E7CF d=3A slot=D4 n=12
 12015 MR     a=E7D0 d=3A slot=D4 n=12
 12033 MR     a=3A3A d=5C slot=D4 n=12
 12051 M1     a=E7D1 d=3A slot=D4 n=15
 12081 MR     a=E7D2 d=3A slot=D4 n=12
 12099 MR     a=E7D3 d=3A slot=D4 n=12
 12117 MR     a=3A3A d=5C slot=D4 n=12
 12135 M1     a=E7D4 d=3A slot=D4 n=15
 12165 MR     a=E7D5 d=3A slot=D4 n=12
 12183 MR     a=E7D6 d=3A slot=D4 n=12
 12201 MR     a=3A3A d=5C slot=D4 n=12
 12219 M1     a=E7D7 d=3A slot=D4 n=15
 12249 MR     a=E7D8 d=3A slot=D4 n=12
 12267 MR     a=E7D9 d=3A slot=D4 n=12
 12285 MR     a=3A3A d=5C slot=D4 n=12
 12303 M1     a=E7DA d=3A slot=D4 n=15
 12333 MR     a=E7DB d=3A slot=D4 n=12
 12351 MR     a=E7DC d=3A slot=D4 n=12
 12369 MR     a=3A3A d=5C slot=D4 n=12
 12387 M1     a=E7DD d=3A slot=D4 n=15
 12417 MR     a=E7DE d=3A slot=D4 n=12
 12435 MR     a=E7DF d=3A slot=D4 n=12
 12453 MR     a=3A3A d=5C slot=D4 n=12
 12471 M1     a=E7E0 d=3A slot=D4 n=15
 12501 MR     a=E7E1 d=3A slot=D4 n=12
 12519 MR     a=E7E2 d=3A slot=D4 n=12
 12537 MR     a=3A3A d=5C slot=D4 n=12
 12555 M1     a=E7E3 d=3A slot=D4 n=15
 12585 MR     a=E7E4 d=3A slot=D4 n=12
 12603 MR     a=E7E5 d=3A slot=D4 n=12
