# 16383 samples -> 650 bus cycles
  8109 MR     a=F0B5 d=03 slot=D4 n=12
  8127 M1     a=02DD d=DD slot=D4 n=15
  8157 M1     a=02DE d=E5 slot=D4 n=15
  8199 MW     a=F0B5 d=01 slot=D4 n=6
  8217 MW     a=F0B4 d=2D slot=D4 n=6
  8229 M1     a=02DF d=E1 slot=D4 n=15
  8259 MR     a=F0B4 d=2D slot=D4 n=12
  8277 MR     a=F0B5 d=01 slot=D4 n=12
  8295 M1     a=02E0 d=CD slot=D4 n=15
  8325 MR     a=02E1 d=53 slot=D4 n=12
  8343 MR     a=02E2 d=03 slot=D4 n=12
  8373 MW     a=F0B5 d=02 slot=D4 n=6
  8391 MW     a=F0B4 d=E3 slot=D4 n=6
  8403 M1     a=0353 d=F3 slot=D4 n=15
  8433 M1     a=0354 d=F5 slot=D4 n=15
  8475 MW     a=F0B3 d=03 slot=D4 n=6
  8493 MW     a=F0B2 d=14 slot=D4 n=6
  8505 M1     a=0355 d=7C slot=D4 n=15
  8535 M1     a=0356 d=07 slot=D4 n=15
  8565 M1     a=0357 d=07 slot=D4 n=15
  8595 M1     a=0358 d=E6 slot=D4 n=15
  8625 MR     a=0359 d=03 slot=D4 n=12
  8643 M1     a=035A d=5F slot=D4 n=15
  8673 M1     a=035B d=3E slot=D4 n=15
  8703 MR     a=035C d=C0 slot=D4 n=12
  8721 M1     a=035D d=07 slot=D4 n=15
  8751 M1     a=035E d=07 slot=D4 n=15
  8781 M1     a=035F d=1D slot=D4 n=15
  8811 M1     a=0360 d=F2 slot=D4 n=15
  8841 MR     a=0361 d=5D slot=D4 n=12
  8859 MR     a=0362 d=03 slot=D4 n=12
  8877 M1     a=0363 d=5F slot=D4 n=15
  8907 M1     a=0364 d=2F slot=D4 n=15
  8937 M1     a=0365 d=4F slot=D4 n=15
  8967 M1     a=0366 d=F1 slot=D4 n=15
  8997 MR     a=F0B2 d=14 slot=D4 n=12
  9015 MR     a=F0B3 d=03 slot=D4 n=12
  9033 M1     a=0367 d=F5 slot=D4 n=15
  9075 MW     a=F0B3 d=03 slot=D4 n=6
  9093 MW     a=F0B2 d=14 slot=D4 n=6
  9105 M1     a=0368 d=E6 slot=D4 n=15
  9135 MR     a=0369 d=03 slot=D4 n=12
  9153 M1     a=036A d=3C slot=D4 n=15
  9183 M1     a=036B d=47 slot=D4 n=15
  9213 M1     a=036C d=3E slot=D4 n=15
  9243 MR     a=036D d=AB slot=D4 n=12
  9261 M1     a=036E d=C6 slot=D4 n=15
  9291 MR     a=036F d=55 slot=D4 n=12
  9309 M1     a=0370 d=10 slot=D4 n=15
  9345 MR     a=0371 d=FC slot=D4 n=12
  9393 M1     a=036E d=C6 slot=D4 n=15
  9423 MR     a=036F d=55 slot=D4 n=12
  9441 M1     a=0370 d=10 slot=D4 n=15
  9477 MR     a=0371 d=FC slot=D4 n=12
  9525 M1     a=036E d=C6 slot=D4 n=15
  9555 MR     a=036F d=55 slot=D4 n=12
  9573 M1     a=0370 d=10 slot=D4 n=15
  9609 MR     a=0371 d=FC slot=D4 n=12
  9657 M1     a=036E d=C6 slot=D4 n=15
  9687 MR     a=036F d=55 slot=D4 n=12
  9705 M1     a=0370 d=10 slot=D4 n=15
  9741 MR     a=0371 d=FC slot=D4 n=12
  9759 M1     a=0372 d=57 slot=D4 n=15
  9789 M1     a=0373 d=A3 slot=D4 n=15
  9819 M1     a=0374 d=47 slot=D4 n=15
  9849 M1     a=0375 d=F1 slot=D4 n=15
  9879 MR     a=F0B2 d=14 slot=D4 n=12
  9897 MR     a=F0B3 d=03 slot=D4 n=12
  9915 M1     a=0376 d=A7 slot=D4 n=15
  9945 M1     a=0377 d=C9 slot=D4 n=15
  9975 MR     a=F0B4 d=E3 slot=D4 n=12
  9993 MR     a=F0B5 d=02 slot=D4 n=12
 10011 M1     a=02E3 d=FA slot=D4 n=15
 10041 MR     a=02E4 d=EF slot=D4 n=12
 10059 MR     a=02E5 d=02 slot=D4 n=12
 10077 M1     a=02E6 d=DB slot=D4 n=15
 10107 MR     a=02E7 d=A8 slot=D4 n=12
 10128 IOR    a=03A8 d=D4 slot=D4 n=15
 10149 M1     a=02E8 d=F5 slot=D4 n=15
 10191 MW     a=F0B5 d=D4 slot=D4 n=6
 10209 MW     a=F0B4 d=14 slot=D4 n=6
 10221 M1     a=02E9 d=A1 slot=D4 n=15
 10251 M1     a=02EA d=B0 slot=D4 n=15
 10281 M1     a=02EB d=D9 slot=D4 n=15
 10311 M1     a=02EC d=C3 slot=D4 n=15
 10341 MR     a=02ED d=8C slot=D4 n=12
 10359 MR     a=02EE d=F3 slot=D4 n=12
 10377 M1     a=F38C d=D3 slot=D4 n=15
 10407 MR     a=F38D d=A8 slot=D4 n=12
 10428 IOW    a=D7A8 d=D7 slot=D7 n=15
 10449 M1     a=F38E d=08 slot=D7 n=15
 10479 M1     a=F38F d=CD slot=D7 n=15
 10509 MR     a=F390 d=98 slot=D7 n=12
 10527 MR     a=F391 d=F3 slot=D7 n=12
 10557 MW     a=F0B3 d=F3 slot=D7 n=6
 10575 MW     a=F0B2 d=92 slot=D7 n=6
 10587 M1     a=F398 d=DD slot=D7 n=15
 10617 M1     a=F399 d=E9 slot=D7 n=15
 10647 M1     a=012D d=FB slot=D7 n=15
 10677 M1     a=012E d=C3 slot=D7 n=15
 10707 MR     a=012F d=88 slot=D7 n=12
 10725 MR     a=0130 d=06 slot=D7 n=12
 10743 M1     a=0688 d=ED slot=D7 n=15
 10773 M1     a=0689 d=57 slot=D7 n=15
 10809 M1     a=068A d=F5 slot=D7 n=15
 10851 MW     a=F0B1 d=00 slot=D7 n=6
 10869 MW     a=F0B0 d=44 slot=D7 n=6
 10881 M1     a=068B d=E5 slot=D7 n=15
 10923 MW     a=F0AF d=CB slot=D7 n=6
 10941 MW     a=F0AE d=00 slot=D7 n=6
 10953 M1     a=068C d=79 slot=D7 n=15
 10983 M1     a=068D d=A7 slot=D7 n=15
 11013 M1     a=068E d=20 slot=D7 n=15
 11043 MR     a=068F d=31 slot=D7 n=12
 11091 M1     a=06C1 d=78 slot=D7 n=15
 11121 M1     a=06C2 d=F3 slot=D7 n=15
 11151 M1     a=06C3 d=D3 slot=D7 n=15
 11181 MR     a=06C4 d=99 slot=D7 n=12
 11202 IOW    a=0899 d=08 slot=D7 n=15
 11223 M1     a=06C5 d=79 slot=D7 n=15
 11253 M1     a=06C6 d=F6 slot=D7 n=15
 11283 MR     a=06C7 d=80 slot=D7 n=12
 11301 M1     a=06C8 d=D3 slot=D7 n=15
 11331 MR     a=06C9 d=99 slot=D7 n=12
 11352 IOW    a=8899 d=88 slot=D7 n=15
 11373 M1     a=06CA d=C5 slot=D7 n=15
 11415 MW     a=F0AD d=08 slot=D7 n=6
 11433 MW     a=F0AC d=08 slot=D7 n=6
 11445 M1     a=06CB d=D5 slot=D7 n=15
 11487 MW     a=F0AB d=00 slot=D7 n=6
 11505 MW     a=F0AA d=80 slot=D7 n=6
 11517 M1     a=06CC d=50 slot=D7 n=15
 11547 M1     a=06CD d=79 slot=D7 n=15
 11577 M1     a=06CE d=06 slot=D7 n=15
 11607 MR     a=06CF d=00 slot=D7 n=12
 11625 M1     a=06D0 d=FE slot=D7 n=15
 11655 MR     a=06D1 d=08 slot=D7 n=12
 11673 M1     a=06D2 d=21 slot=D7 n=15
 11703 MR     a=06D3 d=DF slot=D7 n=12
 11721 MR     a=06D4 d=F3 slot=D7 n=12
 11739 M1     a=06D5 d=38 slot=D7 n=15
 11769 MR     a=06D6 d=10 slot=D7 n=12
 11787 M1     a=06D7 d=FE slot=D7 n=15
 11817 MR     a=06D8 d=18 slot=D7 n=12
 11835 M1     a=06D9 d=21 slot=D7 n=15
 11865 MR     a=06DA d=DF slot=D7 n=12
 11883 MR     a=06DB d=FF slot=D7 n=12
 11901 M1     a=06DC d=38 slot=D7 n=15
 11931 MR     a=06DD d=09 slot=D7 n=12
 11979 M1     a=06E7 d=09 slot=D7 n=15
 12051 M1     a=06E8 d=72 slot=D7 n=15
 12087 MW     a=FFE7 d=08 slot=D7 n=6
 12099 M1     a=06E9 d=CD slot=D7 n=15
 12129 MR     a=06EA d=F3 slot=D7 n=12
 12147 MR     a=06EB d=06 slot=D7 n=12
 12177 MW     a=F0A9 d=06 slot=D7 n=6
 12195 MW     a=F0A8 d=EC slot=D7 n=6
 12207 M1     a=06F3 d=3A slot=D7 n=15
 12237 MR     a=06F4 d=DF slot=D7 n=12
 12255 MR     a=06F5 d=F3 slot=D7 n=12
 12273 MR     a=F3DF d=06 slot=D7 n=12
 12291 M1     a=06F6 d=E6 slot=D7 n=15
 12321 MR     a=06F7 d=0E slot=D7 n=12
 12339 M1     a=06F8 d=0F slot=D7 n=15
 12369 M1     a=06F9 d=4F slot=D7 n=15
 12399 M1     a=06FA d=3A slot=D7 n=15
 12429 MR     a=06FB d=E0 slot=D7 n=12
 12447 MR     a=06FC d=F3 slot=D7 n=12
 12465 MR     a=F3E0 d=22 slot=D7 n=12
 12483 M1     a=06FD d=E6 slot=D7 n=15
 12513 MR     a=06FE d=18 slot=D7 n=12
 12531 M1     a=06FF d=B1 slot=D7 n=15
 12561 M1     a=0700 d=4F slot=D7 n=15
 12591 M1     a=0701 d=3A slot=D7 n=15
 12621 MR     a=0702 d=E7 slot=D7 n=12
 12639 MR     a=0703 d=FF slot=D7 n=12
 12657 MR     a=FFE7 d=08 slot=D7 n=12
 12675 M1     a=0704 d=E6 slot=D7 n=15
 12705 MR     a=0705 d=20 slot=D7 n=12
 12723 M1     a=0706 d=B1 slot=D7 n=15
 12753 M1     a=0707 d=4F slot=D7 n=15
 12783 M1     a=0708 d=3A slot=D7 n=15
 12813 MR     a=0709 d=FA slot=D7 n=12
 12831 MR     a=070A d=FF slot=D7 n=12
 12849 MR     a=FFFA d=00 slot=D7 n=12
 12867 M1     a=070B d=E6 slot=D7 n=15
 12897 MR     a=070C d=18 slot=D7 n=12
 12915 M1     a=070D d=07 slot=D7 n=15
 12945 M1     a=070E d=07 slot=D7 n=15
 12975 M1     a=070F d=07 slot=D7 n=15
 13005 M1     a=0710 d=B1 slot=D7 n=15
 13035 M1     a=0711 d=D3 slot=D7 n=15
 13065 MR     a=0712 d=F3 slot=D7 n=12
 13086 IOW    a=03F3 d=03 slot=D7 n=15
 13107 M1     a=0713 d=C9 slot=D7 n=15
