# 16385 samples -> 686 bus cycles
  8148 MR     a=0C51 d=02 slot=D4 n=12
  8166 MR     a=0C52 d=0D slot=D4 n=12
  8184 M1     a=0D02 d=DD slot=D4 n=15
  8214 M1     a=0D03 d=E1 slot=D4 n=15
  8244 MR     a=F156 d=00 slot=D4 n=12
  8262 MR     a=F157 d=E0 slot=D4 n=12
  8280 M1     a=0D04 d=FD slot=D4 n=15
  8310 M1     a=0D05 d=E1 slot=D4 n=15
  8340 MR     a=F158 d=A8 slot=D4 n=12
  8358 MR     a=F159 d=01 slot=D4 n=12
  8376 M1     a=0D06 d=F1 slot=D4 n=15
  8406 MR     a=F15A d=44 slot=D4 n=12
  8424 MR     a=F15B d=98 slot=D4 n=12
  8442 M1     a=0D07 d=C1 slot=D4 n=15
  8472 MR     a=F15C d=10 slot=D4 n=12
  8490 MR     a=F15D d=5F slot=D4 n=12
  8508 M1     a=0D08 d=D1 slot=D4 n=15
  8538 MR     a=F15E d=27 slot=D4 n=12
  8556 MR     a=F15F d=55 slot=D4 n=12
  8574 M1     a=0D09 d=E1 slot=D4 n=15
  8604 MR     a=F160 d=36 slot=D4 n=12
  8622 MR     a=F161 d=55 slot=D4 n=12
  8640 M1     a=0D0A d=08 slot=D4 n=15
  8670 M1     a=0D0B d=D9 slot=D4 n=15
  8700 M1     a=0D0C d=F1 slot=D4 n=15
  8730 MR     a=F162 d=00 slot=D4 n=12
  8748 MR     a=F163 d=01 slot=D4 n=12
  8766 M1     a=0D0D d=C1 slot=D4 n=15
  8796 MR     a=F164 d=00 slot=D4 n=12
  8814 MR     a=F165 d=00 slot=D4 n=12
  8832 M1     a=0D0E d=D1 slot=D4 n=15
  8862 MR     a=F166 d=5C slot=D4 n=12
  8880 MR     a=F167 d=98 slot=D4 n=12
  8898 M1     a=0D0F d=E1 slot=D4 n=15
  8928 MR     a=F168 d=83 slot=D4 n=12
  8946 MR     a=F169 d=01 slot=D4 n=12
  8964 M1     a=0D10 d=FB slot=D4 n=15
  8994 M1     a=0D11 d=C9 slot=D4 n=15
  9024 MR     a=F16A d=7B slot=D4 n=12
  9042 MR     a=F16B d=F3 slot=D4 n=12
  9060 M1     a=F37B d=00 slot=D4 n=15
  9090 M1     a=F37C d=FF slot=D4 n=15
  9132 MW     a=F16B d=F3 slot=D4 n=6
  9150 MW     a=F16A d=7D slot=D4 n=6
  9162 M1     a=0038 d=C3 slot=D4 n=15
  9192 MR     a=0039 d=3C slot=D4 n=12
  9210 MR     a=003A d=0C slot=D4 n=12
  9228 M1     a=0C3C d=E5 slot=D4 n=15
  9270 MW     a=F169 d=01 slot=D4 n=6
  9288 MW     a=F168 d=83 slot=D4 n=6
  9300 M1     a=0C3D d=D5 slot=D4 n=15
  9342 MW     a=F167 d=98 slot=D4 n=6
  9360 MW     a=F166 d=5C slot=D4 n=6
  9372 M1     a=0C3E d=C5 slot=D4 n=15
  9414 MW     a=F165 d=00 slot=D4 n=6
  9432 MW     a=F164 d=00 slot=D4 n=6
  9444 M1     a=0C3F d=F5 slot=D4 n=15
  9486 MW     a=F163 d=01 slot=D4 n=6
  9504 MW     a=F162 d=00 slot=D4 n=6
  9516 M1     a=0C40 d=D9 slot=D4 n=15
  9546 M1     a=0C41 d=08 slot=D4 n=15
  9576 M1     a=0C42 d=E5 slot=D4 n=15
  9618 MW     a=F161 d=55 slot=D4 n=6
  9636 MW     a=F160 d=36 slot=D4 n=6
  9648 M1     a=0C43 d=D5 slot=D4 n=15
  9690 MW     a=F15F d=55 slot=D4 n=6
  9708 MW     a=F15E d=27 slot=D4 n=6
  9720 M1     a=0C44 d=C5 slot=D4 n=15
  9762 MW     a=F15D d=5F slot=D4 n=6
  9780 MW     a=F15C d=10 slot=D4 n=6
  9792 M1     a=0C45 d=F5 slot=D4 n=15
  9834 MW     a=F15B d=98 slot=D4 n=6
  9852 MW     a=F15A d=44 slot=D4 n=6
  9864 M1     a=0C46 d=FD slot=D4 n=15
  9894 M1     a=0C47 d=E5 slot=D4 n=15
  9936 MW     a=F159 d=01 slot=D4 n=6
  9954 MW     a=F158 d=A8 slot=D4 n=6
  9966 M1     a=0C48 d=DD slot=D4 n=15
  9996 M1     a=0C49 d=E5 slot=D4 n=15
 10038 MW     a=F157 d=E0 slot=D4 n=6
 10056 MW     a=F156 d=00 slot=D4 n=6
 10068 M1     a=0C4A d=CD slot=D4 n=15
 10098 MR     a=0C4B d=9A slot=D4 n=12
 10116 MR     a=0C4C d=FD slot=D4 n=12
 10146 MW     a=F155 d=0C slot=D4 n=6
 10164 MW     a=F154 d=4D slot=D4 n=6
 10176 M1     a=FD9A d=C9 slot=D4 n=15
 10206 MR     a=F154 d=4D slot=D4 n=12
 10224 MR     a=F155 d=0C slot=D4 n=12
 10242 M1     a=0C4D d=CD slot=D4 n=15
 10272 MR     a=0C4E d=79 slot=D4 n=12
 10290 MR     a=0C4F d=14 slot=D4 n=12
 10320 MW     a=F155 d=0C slot=D4 n=6
 10338 MW     a=F154 d=50 slot=D4 n=6
 10350 M1     a=1479 d=DB slot=D4 n=15
 10380 MR     a=147A d=BA slot=D4 n=12
 10401 IOR    a=98BA d=FF slot=D4 n=15
 10422 M1     a=147B d=E6 slot=D4 n=15
 10452 MR     a=147C d=10 slot=D4 n=12
 10470 M1     a=147D d=20 slot=D4 n=15
 10500 MR     a=147E d=0D slot=D4 n=12
 10548 M1     a=148C d=DB slot=D4 n=15
 10578 MR     a=148D d=99 slot=D4 n=12
 10599 IOR    a=1099 d=1F slot=D4 n=15
 10620 M1     a=148E d=A7 slot=D4 n=15
 10650 M1     a=148F d=C9 slot=D4 n=15
 10680 MR     a=F154 d=50 slot=D4 n=12
 10698 MR     a=F155 d=0C slot=D4 n=12
 10716 M1     a=0C50 d=F2 slot=D4 n=15
 10746 MR     a=0C51 d=02 slot=D4 n=12
 10764 MR     a=0C52 d=0D slot=D4 n=12
 10782 M1     a=0D02 d=DD slot=D4 n=15
 10812 M1     a=0D03 d=E1 slot=D4 n=15
 10842 MR     a=F156 d=00 slot=D4 n=12
 10860 MR     a=F157 d=E0 slot=D4 n=12
 10878 M1     a=0D04 d=FD slot=D4 n=15
 10908 M1     a=0D05 d=E1 slot=D4 n=15
